"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4892944","","","","0"
"2018-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4379738","","","","0"
"2018-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4694236","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3621854","","","","0"
"2018-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3096576","","","","0"
"2018-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2615620","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2864933","","","","0"
"2018-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3006122","","","","0"
"2018-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2718220","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3124105","","","","0"
"2018-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4165664","","","","0"
"2018-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4906165","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4843223","","","","0"
"2019-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4465845","","","","0"
"2019-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4711954","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3597623","","","","0"
"2019-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2907933","","","","0"
"2019-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2065774","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2598207","","","","0"
"2019-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2709383","","","","0"
"2019-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2532075","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3101333","","","","0"
"2019-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4301583","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4801422","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4842059","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4517262","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4687578","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3465712","","","","0"
"2020-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2535101","","","","0"
"2020-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2331648","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2260482","","","","0"
"2020-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2185726","","","","0"
"2020-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2256736","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2829695","","","","0"
"2020-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3533101","","","","0"
"2020-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4563529","","","","0"
"2009-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3951143","","","","0"
"2009-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3519928","","","","0"
"2009-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3908312","","","","0"
"2009-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3141139","","","","0"
"2009-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2701445","","","","0"
"2009-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2063934","","","","0"
"2009-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2072514","","","","0"
"2009-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2060587","","","","0"
"2009-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2340683","","","","0"
"2009-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2955488","","","","0"
"2009-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3404467","","","","0"
"2009-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3991677","","","","0"
"2010-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","4390694","","","","0"
"2010-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","4040076","","","","0"
"2010-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","4117915","","","","0"
"2010-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2902235","","","","0"
"2010-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","3022968","","","","0"
"2010-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2720125","","","","0"
"2010-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2705101","","","","0"
"2010-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units","0","v44174696","2.1.2","2644038","","","","0"
