event,disaster_type,year,month,day,full_date,cost,deaths,days_between
Midwest Drought (Spring-Summer 2005),Drought,2005,3,1,3/1/2005,2035.2,0,NA
Southeast Severe Weather (March 2005),Severe Storm,2005,3,24,3/24/2005,1193.7,0,23
Hurricane Dennis (July 2005),Tropical Cyclone,2005,7,9,7/9/2005,3443.1,15,107
Hurricane Katrina (August 2005),Tropical Cyclone,2005,8,25,8/25/2005,172540.6,1833,47
Hurricane Rita (September 2005),Tropical Cyclone,2005,9,20,9/20/2005,25530.1,119,26
Hurricane Wilma (October 2005),Tropical Cyclone,2005,10,24,10/24/2005,26220,35,34
Numerous Wildfires (2006),Wildfire,2006,1,1,1/1/2006,1951.4,28,NA
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006,3,1,3/1/2006,7977.2,0,59
Severe Storms and Tornadoes (March 2006),Severe Storm,2006,3,8,3/8/2006,1779.1,10,7
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006,4,6,4/6/2006,2133.2,10,29
Midwest Tornadoes (April 2006),Severe Storm,2006,4,13,4/13/2006,3223.3,27,7
Northeast Flooding (June 2006),Flooding,2006,6,25,6/25/2006,2023.8,20,73
Central Severe Weather (October 2006),Severe Storm,2006,10,2,10/2/2006,1169.1,1,99
California Freeze (January 2007),Freeze,2007,1,11,1/11/2007,1820,1,NA
Spring Freeze (April 2007),Freeze,2007,4,4,4/4/2007,2657.2,0,83
East/South Severe Weather and Flooding (April 2007),Severe Storm,2007,4,13,4/13/2007,3260.2,9,9
Western Wildfires (Summer 2007),Wildfire,2007,6,1,6/1/2007,3563.8,12,49
Western/Eastern Drought/Heatwave (Summer-Fall 2007),Drought,2007,6,1,6/1/2007,4599.7,15,0
U.S. Drought (2008),Drought,2008,1,1,1/1/2008,8762.3,0,NA
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008,1,4,1/4/2008,1227.8,12,3
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008,2,5,2/5/2008,1514.7,57,32
Southeast Tornadoes (March 2008),Severe Storm,2008,3,14,3/14/2008,1413.8,5,38
Midwest Flooding (Summer 2008),Flooding,2008,4,1,4/1/2008,12448.3,24,18
Southern Severe Weather (April 2008),Severe Storm,2008,4,9,4/9/2008,1299.6,2,8
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008,5,22,5/22/2008,3786.8,13,43
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008,6,6,6/6/2008,2045,18,15
Hurricane Dolly (July 2008),Tropical Cyclone,2008,7,23,7/23/2008,1584.1,3,47
Hurricane Gustav (September 2008),Tropical Cyclone,2008,8,31,8/31/2008,7496.3,53,39
U.S. Wildfires (Fall 2008),Wildfire,2008,9,1,9/1/2008,1542.5,16,1
Hurricane Ike (September 2008),Tropical Cyclone,2008,9,12,9/12/2008,37498.5,112,11
Southwest/Great Plains Drought (2009),Drought,2009,1,1,1/1/2009,4365,0,NA
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009,2,10,2/10/2009,2175.4,10,40
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009,3,25,3/25/2009,2050.7,0,43
South/Southeast Severe Weather & Tornadoes (April 2009),Severe Storm,2009,4,9,4/9/2009,1787.8,6,15
