station,year,swe,lat,lon,ele,z
1C01,2014,156,49.8,-120.8666667,994,-0.588179117
1C01,2015,45,49.8,-120.8666667,994,-2.023692226
1C01,2016,138,49.8,-120.8666667,994,-0.820965026
1C01,2017,182,49.8,-120.8666667,994,-0.251932803
1C01,2018,223,49.8,-120.8666667,994,0.278301769
1C01,2019,95,49.8,-120.8666667,994,-1.377064699
1C01,2020,127,49.8,-120.8666667,994,-0.963223082
1C01,2021,159,49.8,-120.8666667,994,-0.549381465
1C05,1952,742,50.68333333,-122.6166667,1715,0.872625313
1C05,1953,770,50.68333333,-122.6166667,1715,1.042725592
1C05,1954,1118,50.68333333,-122.6166667,1715,3.156829061
1C05,1956,820,50.68333333,-122.6166667,1715,1.34647609
1C05,1957,673,50.68333333,-122.6166667,1715,0.453449625
1C05,1958,571,50.68333333,-122.6166667,1715,-0.166201392
1C05,1959,544,50.68333333,-122.6166667,1715,-0.330226661
1C05,1960,559,50.68333333,-122.6166667,1715,-0.239101512
1C05,1961,823,50.68333333,-122.6166667,1715,1.36470112
1C05,1962,460,50.68333333,-122.6166667,1715,-0.840527499
1C05,1963,559,50.68333333,-122.6166667,1715,-0.239101512
1C05,1964,632,50.68333333,-122.6166667,1715,0.204374216
1C05,1965,488,50.68333333,-122.6166667,1715,-0.67042722
1C05,1966,627,50.68333333,-122.6166667,1715,0.173999166
1C05,1967,952,50.68333333,-122.6166667,1715,2.148377406
1C05,1968,777,50.68333333,-122.6166667,1715,1.085250662
1C05,1969,660,50.68333333,-122.6166667,1715,0.374474495
1C05,1970,386,50.68333333,-122.6166667,1715,-1.290078237
1C05,1971,706,50.68333333,-122.6166667,1715,0.653924954
1C05,1972,686,50.68333333,-122.6166667,1715,0.532424754
1C05,1973,559,50.68333333,-122.6166667,1715,-0.239101512
1C05,1974,833,50.68333333,-122.6166667,1715,1.42545122
1C05,1975,574,50.68333333,-122.6166667,1715,-0.147976362
1C05,1976,820,50.68333333,-122.6166667,1715,1.34647609
1C05,1977,409,50.68333333,-122.6166667,1715,-1.150353007
1C05,1978,650,50.68333333,-122.6166667,1715,0.313724395
1C05,1979,392,50.68333333,-122.6166667,1715,-1.253628177
1C05,1980,478,50.68333333,-122.6166667,1715,-0.731177319
